index,dataset_variant,config_name,model_class,scaler,resampling,pca,mean,std,count,generalization_score,complexity_score
1277,STRICT,config_random80,SVC,standard,smote,off,0.4502421301396921,0.16679347906485753,456,0.2834486510748346,3
965,STRICT,config_loo,KNeighborsClassifier,standard,none,on,0.33897845034260216,0.05581499925395954,224,0.2831634510886426,3
124,IMPUTED,config_kfold,QuadraticDiscriminantAnalysis,robust,none,off,0.33772078514431253,0.054561892251011046,120,0.2831588928933015,2
427,IMPUTED,config_random80,LinearDiscriminantAnalysis,maxabs,smoteenn,on,0.4345564539640617,0.15214146312777085,560,0.28241499083629085,3
1251,STRICT,config_random80,RandomForestClassifier,standard,none,off,0.41859769858144347,0.13627306260371796,1296,0.2823246359777255,2
161,IMPUTED,config_kfold,SVC,maxabs,smoteenn,on,0.4097301821935863,0.1274664182124192,5544,0.28226376398116715,4
1287,STRICT,config_strat80,GaussianNB,maxabs,smoteenn,off,0.4265872220381947,0.14440962224710083,240,0.2821775997910939,3
1271,STRICT,config_random80,SVC,robust,smoteenn,off,0.42493501690883273,0.14281468547392853,456,0.2821203314349042,3
1360,STRICT,config_strat80,LinearDiscriminantAnalysis,standard,none,on,0.42897164371309293,0.14748405899133699,140,0.28148758472175595,2
471,IMPUTED,config_random80,LogisticRegression,standard,none,on,0.45083194813574545,0.16936535906316633,840,0.28146658907257915,2
783,STRICT,config_kfold,KNeighborsClassifier,standard,none,on,0.34983168867228975,0.06852811224002232,4480,0.28130357643226744,3
558,IMPUTED,config_strat80,GaussianNB,none,none,off,0.46245306646704193,0.18127468858544532,60,0.2811783778815966,1
550,IMPUTED,config_strat80,GaussianNB,maxabs,none,off,0.46245306646704193,0.18127468858544532,60,0.2811783778815966,2
562,IMPUTED,config_strat80,GaussianNB,robust,none,off,0.46245306646704193,0.18127468858544532,60,0.2811783778815966,2
570,IMPUTED,config_strat80,GaussianNB,standard,none,off,0.46245306646704193,0.18127468858544532,60,0.2811783778815966,2
197,IMPUTED,config_loo,GaussianNB,robust,smote,on,0.3409898003051165,0.05993967035974857,69,0.28105012994536793,4
699,IMPUTED,config_strat80,RandomForestClassifier,robust,smote,off,0.44041888604796253,0.15953312791417162,5760,0.2808857581337909,3
1162,STRICT,config_random80,LinearDiscriminantAnalysis,maxabs,undersample,on,0.45341754671681506,0.17253509039174503,280,0.28088245632507003,3
1156,STRICT,config_random80,LinearDiscriminantAnalysis,maxabs,none,on,0.4200944592947684,0.1392452839348992,140,0.2808491753598692,2
630,IMPUTED,config_strat80,LinearDiscriminantAnalysis,standard,smoteenn,off,0.4453563733168667,0.1647019141707653,80,0.28065445914610143,2
566,IMPUTED,config_strat80,GaussianNB,robust,smoteenn,off,0.41442031209561925,0.13378406449239308,240,0.28063624760322614,3
1306,STRICT,config_strat80,GaussianNB,standard,smote,on,0.43803518406111264,0.15763649408231944,1680,0.2803986899787932,4
1375,STRICT,config_strat80,LogisticRegression,none,none,off,0.3997447833830448,0.12005226272113023,120,0.2796925206619146,0
270,IMPUTED,config_loo,LogisticRegression,maxabs,smoteenn,off,0.38979416262039285,0.1101558743604861,48,0.2796382882599068,2
