config_name,model_class,scaler,resampling,pca,seed,accuracy__IMPUTED,accuracy__STRICT,balanced_accuracy__IMPUTED,balanced_accuracy__STRICT,f1__IMPUTED,f1__STRICT,mcc__IMPUTED,mcc__STRICT,precision__IMPUTED,precision__STRICT,recall__IMPUTED,recall__STRICT,delta_mcc,delta_balanced_accuracy
config_kfold,GaussianNB,maxabs,smote,off,1092773876.0,0.7195312500000001,0.71560960591133,0.7020016743522178,0.6953860028860029,0.5486519450229405,0.5666308455046846,0.37692477629379334,0.3813844052789739,0.49325098512598514,0.5320741758241758,0.6597222222222222,0.6472222222222223,0.0044596289851805415,-0.00661567146621489
config_kfold,GaussianNB,maxabs,smote,off,1122456590.0,0.725,0.718103448275862,0.6970265151515153,0.696351911976912,0.5577777777777778,0.5653671288777629,0.37889754819783095,0.37395810179494454,0.517797619047619,0.511376887001887,0.6325,0.6493055555555556,-0.004939446402886405,-0.0006746031746032166
config_kfold,GaussianNB,maxabs,smote,off,1130931295.0,0.7265625,0.7135611658456487,0.7017210144927536,0.68660579004329,0.5540136539661712,0.5399650116750332,0.38225959069278065,0.34901072835210667,0.5030463082668964,0.48684131840381834,0.6479166666666666,0.625625,-0.03324886234067398,-0.01511522444946356
config_kfold,GaussianNB,maxabs,smote,off,1648070629.0,0.7062499999999999,0.7180213464696222,0.6860984848484848,0.6992329545454545,0.5378436147186147,0.571406523361026,0.34903974965896906,0.38404706576643544,0.4886038961038961,0.5247226731601732,0.64,0.6572916666666667,0.03500731610746638,0.013134469696969742
config_kfold,GaussianNB,maxabs,smote,off,2013803541.0,0.71875,0.7051436781609195,0.6958311374615723,0.6975112734487734,0.546696743346915,0.5656766909859856,0.37163580183941664,0.36765710411372915,0.5090492840492841,0.4911452089577089,0.6390972222222222,0.680763888888889,-0.003978697725687486,0.0016801359872010702
config_kfold,GaussianNB,maxabs,smote,on,198888238.0,0.7220982142857143,0.7300835679099226,0.7095968614718614,0.7098707740672027,0.5663591963591964,0.5786901043735625,0.38756224890647684,0.40178176631924667,0.5002905328798186,0.530618746333032,0.6766071428571429,0.6641865079365079,0.014219517412769833,0.00027391259534126355
config_kfold,GaussianNB,maxabs,smote,on,330267354.0,0.7309151785714286,0.7188013136288999,0.7102986777715039,0.6837977994227994,0.5725375900922672,0.5456608630554365,0.40134259320542354,0.3620921940800171,0.5249500919248818,0.5301979766265481,0.6640773809523809,0.5981150793650793,-0.039250399125406454,-0.026500878348704515
config_kfold,GaussianNB,maxabs,smote,on,478163327.0,0.7274553571428571,0.7267402650715459,0.7075073326432022,0.7131149505256649,0.5696453241099896,0.577006669075593,0.3889749076387807,0.40999018241263263,0.5048979067151336,0.5337289682772876,0.6653769841269841,0.6783928571428571,0.021015274773851955,0.005607617882462668
config_kfold,GaussianNB,maxabs,smote,on,505971449.0,0.7154017857142857,0.7262637813746188,0.6950312127486041,0.6962148912595341,0.546143182238357,0.5608913662681738,0.36317313838841536,0.3835905809903294,0.4885886583654441,0.5307935817100733,0.6446031746031746,0.634156746031746,0.020417442601914026,0.0011836785109299308
config_kfold,GaussianNB,maxabs,smote,on,624025999.0,0.7274553571428571,0.7194247009148487,0.6839880952380952,0.6909646851164708,0.5337249853321282,0.5541546044255022,0.3544860523320948,0.36742403951261876,0.4984027777777778,0.5148782764854193,0.5953571428571428,0.624593253968254,0.012937987180523969,0.006976589878375572
