dataset_variant,config_name,val_strategy,model_key,model_class,imputer,scaler,pca,resampling,n_seed_runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std,fair_composite_rank_mean
IMPUTED,config_strat80,stratified_split_80_20,SVC_linear,SVC,median,standard,on,smoteenn,10,0.8,0.0934021323810828,0.6189819412613531,0.1433433438730486,0.9111111111111112,0.1462845752454185,0.7257068031436373,0.1156968381154774,0.8338164251207729,0.0845663638238648,0.6224103504422511,0.1639428408552494,629.1666666666666
IMPUTED,config_strat80,stratified_split_80_20,SVC_linear,SVC,none,standard,on,smoteenn,10,0.8,0.0934021323810828,0.6189819412613531,0.1433433438730486,0.9111111111111112,0.1462845752454185,0.7257068031436373,0.1156968381154774,0.8338164251207729,0.0845663638238648,0.6224103504422511,0.1639428408552494,629.1666666666666
IMPUTED,config_strat80,stratified_split_80_20,SVC_linear,SVC,median,robust,on,smote,10,0.796875,0.0990952999502106,0.622281746031746,0.1859909189201792,0.8777777777777777,0.1610152971798826,0.715303390123285,0.1431378311387602,0.8214975845410628,0.0992427394475448,0.603368633360525,0.2057584967929039,644.0
IMPUTED,config_strat80,stratified_split_80_20,SVC_linear,SVC,median,robust,on,smote,10,0.796875,0.0990952999502106,0.622281746031746,0.1859909189201792,0.8777777777777777,0.1610152971798826,0.715303390123285,0.1431378311387602,0.8214975845410628,0.0992427394475448,0.603368633360525,0.2057584967929039,644.0
IMPUTED,config_strat80,stratified_split_80_20,SVC_linear,SVC,none,robust,on,smote,10,0.796875,0.0990952999502106,0.622281746031746,0.1859909189201792,0.8777777777777777,0.1610152971798826,0.715303390123285,0.1431378311387602,0.8214975845410628,0.0992427394475448,0.603368633360525,0.2057584967929039,644.0
IMPUTED,config_strat80,stratified_split_80_20,SVC_linear,SVC,none,robust,on,smote,10,0.796875,0.0990952999502106,0.622281746031746,0.1859909189201792,0.8777777777777777,0.1610152971798826,0.715303390123285,0.1431378311387602,0.8214975845410628,0.0992427394475448,0.603368633360525,0.2057584967929039,644.0
IMPUTED,config_strat80,stratified_split_80_20,SVC_linear,SVC,median,robust,on,smote,10,0.796875,0.0990952999502106,0.622281746031746,0.1859909189201792,0.8777777777777777,0.1610152971798826,0.715303390123285,0.1431378311387602,0.8214975845410628,0.0992427394475448,0.603368633360525,0.2057584967929039,644.0
IMPUTED,config_strat80,stratified_split_80_20,SVC_linear,SVC,median,robust,on,smote,10,0.796875,0.0990952999502106,0.622281746031746,0.1859909189201792,0.8777777777777777,0.1610152971798826,0.715303390123285,0.1431378311387602,0.8214975845410628,0.0992427394475448,0.603368633360525,0.2057584967929039,644.0
IMPUTED,config_strat80,stratified_split_80_20,SVC_linear,SVC,none,robust,on,smote,10,0.796875,0.0990952999502106,0.622281746031746,0.1859909189201792,0.8777777777777777,0.1610152971798826,0.715303390123285,0.1431378311387602,0.8214975845410628,0.0992427394475448,0.603368633360525,0.2057584967929039,644.0
IMPUTED,config_strat80,stratified_split_80_20,SVC_linear,SVC,none,robust,on,smote,10,0.796875,0.0990952999502106,0.622281746031746,0.1859909189201792,0.8777777777777777,0.1610152971798826,0.715303390123285,0.1431378311387602,0.8214975845410628,0.0992427394475448,0.603368633360525,0.2057584967929039,644.0
IMPUTED,config_strat80,stratified_split_80_20,SVC_linear,SVC,median,standard,on,smoteenn,10,0.8,0.1043747920822945,0.6228221288515405,0.1659022900112668,0.8666666666666666,0.1553790886178002,0.7159892895725444,0.1392837376610763,0.8202898550724639,0.1085745135192072,0.5990154181312533,0.2133292288563547,663.6666666666666
IMPUTED,config_strat80,stratified_split_80_20,SVC_linear,SVC,none,standard,on,smoteenn,10,0.8,0.1043747920822945,0.6228221288515405,0.1659022900112668,0.8666666666666666,0.1553790886178002,0.7159892895725444,0.1392837376610763,0.8202898550724639,0.1085745135192072,0.5990154181312533,0.2133292288563547,663.6666666666666
