dataset_variant,config_name,model_class,scaler,resampling,pca,mean,std,median,min,max,count,range,cv_ratio
IMPUTED,config_strat80,LinearDiscriminantAnalysis,robust,undersample,on,0.4937909448408612,0.1618800324131673,0.5204358386562267,-0.077766274741735,0.7624437362098716,280,0.8402100109516066,0.3278311076873594
STRICT,config_loo,LogisticRegression,standard,smoteenn,on,0.4935587901984783,0.03839920828993844,0.4930055884664934,0.4050757314861623,0.6017840614342685,336,0.19670832994810622,0.07780067755352243
STRICT,config_kfold,LogisticRegression,robust,smoteenn,off,0.4934696553637871,0.046582999207792436,0.4962545574102615,0.3474602756742164,0.625921413107905,960,0.27846113743368855,0.09439891328971652
STRICT,config_loo,LogisticRegression,standard,smote,off,0.49319395680383465,0.022611613440948006,0.4977014396548559,0.4471525794498304,0.5286864701664759,48,0.08153389071664546,0.04584730434955767
STRICT,config_loo,LogisticRegression,standard,none,off,0.4930081795069732,0.02864769358390929,0.5047622053370361,0.4464053981517132,0.5269567650541593,12,0.08055136690244613,0.058107947848974974
STRICT,config_kfold,SVC,standard,smote,on,0.4929414406101733,0.05621192636106942,0.4945411012521209,0.2909990917018729,0.6272301558065851,6300,0.33623106410471226,0.11403367972367896
STRICT,config_random80,LinearDiscriminantAnalysis,maxabs,none,off,0.4925396194250773,0.11609670921087965,0.4886363636363636,0.2786391062876764,0.7416198487095663,20,0.4629807424218899,0.23571039695526405
STRICT,config_random80,LinearDiscriminantAnalysis,none,none,off,0.4925396194250773,0.11609670921087965,0.4886363636363636,0.2786391062876764,0.7416198487095663,20,0.4629807424218899,0.23571039695526405
STRICT,config_random80,LinearDiscriminantAnalysis,robust,none,off,0.4925396194250773,0.11609670921087965,0.4886363636363636,0.2786391062876764,0.7416198487095663,20,0.4629807424218899,0.23571039695526405
STRICT,config_random80,LinearDiscriminantAnalysis,standard,none,off,0.4925396194250773,0.11609670921087965,0.4886363636363636,0.2786391062876764,0.7416198487095663,20,0.4629807424218899,0.23571039695526405
STRICT,config_kfold,SVC,standard,smoteenn,on,0.49243116847284785,0.059237395267522724,0.4947041864636956,0.2920498253653786,0.6918677268047376,6300,0.399817901439359,0.12029578763511801
STRICT,config_kfold,SVC,none,smoteenn,off,0.4921326176668983,0.048458904283171816,0.4872492383739533,0.3855353471495006,0.6389478068671426,900,0.253412459717642,0.09846716625470942
IMPUTED,config_strat80,SVC,standard,smoteenn,off,0.49211076305053475,0.1680583259317078,0.5174307236488221,0.0897303170096942,1.0,480,0.9102696829903059,0.3415050808682474
IMPUTED,config_random80,SVC,robust,smote,off,0.49176488142244584,0.15403320823310673,0.48344880295571363,0.1733842893726021,0.8320502943378436,480,0.6586660049652415,0.3132253116317715
IMPUTED,config_kfold,LogisticRegression,standard,undersample,on,0.4917201861121118,0.043633028962565226,0.48950372998794,0.3544057610841188,0.6237424754016644,3360,0.2693367143175456,0.08873548451927278
STRICT,config_kfold,SVC,standard,undersample,on,0.4910169185898523,0.05532064739477494,0.4959223929158198,0.2918326148621903,0.6215981408039176,3150,0.3297655259417273,0.11266546080255214
STRICT,config_random80,LogisticRegression,none,none,off,0.4909944281325463,0.12617806101080206,0.4796874435475382,0.2132007163556104,0.82915619758885,120,0.6159554812332395,0.25698471058156225
IMPUTED,config_strat80,LinearDiscriminantAnalysis,standard,smoteenn,on,0.49072600884338635,0.1684191288914807,0.4865336327998411,0.0486473329926243,1.0,560,0.9513526670073758,0.3432039994954315
IMPUTED,config_random80,LogisticRegression,none,smote,off,0.49050900677852194,0.13199856889164285,0.4938291646584311,0.2321726094326961,0.8320502943378436,480,0.5998776849051475,0.26910529076430145
IMPUTED,config_random80,LinearDiscriminantAnalysis,none,smote,off,0.4902910134337257,0.13875398862164764,0.4805092388636314,0.2335496832484568,0.7679476477883045,80,0.5343979645398477,0.28300332826802566
STRICT,config_loo,SVC,standard,smoteenn,on,0.49012569405888157,0.04392685855052226,0.4977837854963974,0.395058305668927,0.6001348448710581,231,0.20507653920213104,0.08962365997740383
STRICT,config_kfold,LogisticRegression,standard,smote,off,0.4894080341431255,0.04363082694237805,0.4944241116711019,0.3594246152648573,0.5855412894142763,960,0.226116674149419,0.08915020575575264
IMPUTED,config_strat80,LogisticRegression,standard,smoteenn,off,0.48817436120850105,0.1739673583546107,0.5174307236488221,0.0486473329926243,0.92783056924063,480,0.8791832362480058,0.35636316074434027
