dataset_variant,config_name,model_class,scaler,resampling,pca,mean,std,count,generalization_score,range,cv_ratio
IMPUTED,config_loo,LinearDiscriminantAnalysis,robust,smote,off,0.4735451479510086,0.03739075206949808,8,0.4361543958815105,0.09572278492071501,0.07895921271981104
IMPUTED,config_kfold,LogisticRegression,standard,smoteenn,on,0.4818792570678166,0.046118900634082916,6720,0.4357603564337337,0.2903666229631363,0.09570634128290033
IMPUTED,config_kfold,LinearDiscriminantAnalysis,robust,smote,off,0.4678004892152779,0.03206975515991514,160,0.4357307340553628,0.16843062076033166,0.06855434292877985
STRICT,config_kfold,SVC,standard,undersample,on,0.4910169185898523,0.05532064739477494,3150,0.43569627119507737,0.3297655259417273,0.11266546080255214
IMPUTED,config_loo,LinearDiscriminantAnalysis,standard,smote,off,0.45652908314221485,0.02165629106645597,8,0.4348727920757589,0.04970005994877641,0.047436826844413214
STRICT,config_kfold,LogisticRegression,none,smote,off,0.47390281419707814,0.03981358331430417,960,0.43408923088277396,0.23839599314942778,0.08401212679388567
IMPUTED,config_loo,LogisticRegression,standard,smoteenn,on,0.4714569265239343,0.03802740689067517,336,0.4334295196332591,0.18055194509713546,0.08065934500326967
STRICT,config_kfold,SVC,standard,smoteenn,on,0.49243116847284785,0.059237395267522724,6300,0.43319377320532515,0.399817901439359,0.12029578763511801
IMPUTED,config_kfold,SVC,standard,smoteenn,on,0.4812638773456337,0.048518395766165436,5684,0.43274548157946824,0.3047828608438826,0.10081453865551711
IMPUTED,config_kfold,LinearDiscriminantAnalysis,maxabs,smote,off,0.46582435351038487,0.03338772657139273,160,0.43243662693899215,0.14381183068196568,0.07167449773672771
STRICT,config_loo,SVC,robust,smoteenn,off,0.4690370915203853,0.0367066049530925,31,0.4323304865672928,0.13452235046654293,0.07825949294139599
IMPUTED,config_loo,LogisticRegression,robust,smoteenn,off,0.45748898570793567,0.025644843017433045,48,0.43184414269050264,0.10463675520379451,0.05605565121474837
IMPUTED,config_kfold,LinearDiscriminantAnalysis,none,smote,off,0.462797330795807,0.031221990236462892,160,0.4315753405593441,0.1306091253047582,0.06746363507061473
STRICT,config_loo,LinearDiscriminantAnalysis,standard,undersample,on,0.4668442475153041,0.03531122359882772,28,0.4315330239164764,0.09460943242556824,0.07563812510653276
IMPUTED,config_loo,SVC,robust,smote,off,0.45897010126120336,0.027465213610551906,33,0.4315048876506514,0.10707314613482083,0.059840964662143094
STRICT,config_kfold,SVC,robust,smote,off,0.47442144187870394,0.04294263271086927,900,0.43147880916783465,0.24220434674455793,0.09051579233184928
IMPUTED,config_loo,SVC,robust,smoteenn,off,0.4612516108312363,0.02985678237788185,27,0.4313948284533544,0.10814069891408307,0.06472992543934099
STRICT,config_loo,SVC,maxabs,smote,on,0.4685760674083835,0.03730387075203471,196,0.43127219665634875,0.16412679264121643,0.07961113114111062
IMPUTED,config_kfold,LinearDiscriminantAnalysis,standard,undersample,on,0.48079696883772993,0.04954825133218,560,0.43124871750554994,0.2598160018673263,0.1030544170275388
IMPUTED,config_loo,LinearDiscriminantAnalysis,none,smote,off,0.45604480462703323,0.02480185996089282,8,0.43124294466614044,0.057615905145046775,0.054384700163784355
IMPUTED,config_loo,LogisticRegression,standard,smoteenn,off,0.4569510377123828,0.025840657412450417,48,0.4311103802999324,0.1068127430100731,0.05655016682272033
STRICT,config_kfold,LinearDiscriminantAnalysis,maxabs,smote,on,0.478305202259643,0.04720069959938335,1120,0.4311045026602597,0.26710152042894997,0.09868322438558998
IMPUTED,config_kfold,LogisticRegression,standard,none,off,0.4719788948952768,0.0408771098212151,240,0.43110178507406166,0.20029443431587224,0.08660791883561861
STRICT,config_kfold,LinearDiscriminantAnalysis,standard,undersample,on,0.4852912706146399,0.05443615618864238,560,0.4308551144259975,0.29533093986335807,0.11217213142881576
IMPUTED,config_loo,LinearDiscriminantAnalysis,standard,undersample,on,0.4642873153525815,0.03356569857131375,28,0.43072161678126775,0.10636343784159752,0.07229510146281691
IMPUTED,config_kfold,LinearDiscriminantAnalysis,maxabs,smote,on,0.47039628442764875,0.03976921760183192,1120,0.4306270668258168,0.23714388187778307,0.0845440725583554
IMPUTED,config_kfold,LogisticRegression,robust,undersample,off,0.4722998969915135,0.04174805929674135,480,0.4305518376947721,0.19641808950158302,0.08839311539695614
IMPUTED,config_kfold,SVC,none,smote,off,0.4665786194100479,0.03624007910024881,812,0.4303385403097991,0.23082632621166704,0.07767196693682953
STRICT,config_kfold,LogisticRegression,none,none,off,0.4683385645090455,0.03835630883609673,240,0.42998225567294873,0.17174595655201175,0.08189867703144467
STRICT,config_kfold,SVC,standard,smote,off,0.4695484376940771,0.040179973613492626,900,0.4293684640805845,0.22185667865784098,0.08557152018397496
IMPUTED,config_kfold,LinearDiscriminantAnalysis,standard,smote,off,0.46173692473446587,0.032478747913430014,160,0.42925817682103584,0.1586276372650593,0.07034037386571972
IMPUTED,config_loo,LinearDiscriminantAnalysis,none,smoteenn,off,0.4434581955611498,0.0143100240667038,8,0.429148171494446,0.04091708795134652,0.032269161354873524
STRICT,config_kfold,LinearDiscriminantAnalysis,maxabs,undersample,on,0.47547914709483813,0.04676898228451113,560,0.428710164810327,0.2178189648549827,0.09836179477116519
IMPUTED,config_kfold,SVC,robust,undersample,off,0.4689322536253534,0.04136485579717065,400,0.42756739782818276,0.2000133713381439,0.08821072868708771
IMPUTED,config_loo,LogisticRegression,robust,undersample,off,0.4553589677899901,0.027936984770898475,24,0.4274219830190916,0.10464623573940951,0.061351563814557204
