dataset_variant,config_name,model_key,scaler,resampling,pca,mcc__mean,mcc__std,mcc__count,mcc__median,balanced_accuracy__mean,balanced_accuracy__std,balanced_accuracy__count,balanced_accuracy__median,f1__mean,f1__std,f1__count,f1__median,accuracy__mean,accuracy__std,accuracy__count,accuracy__median,precision__mean,precision__std,precision__count,precision__median,recall__mean,recall__std,recall__count,recall__median
STRICT,config_kfold,LinearDiscriminantAnalysis_svd,standard,smote,on,0.499818526360788,0.056289192019193926,1120,0.5008990697442544,0.7616804138321995,0.030860989902751525,1120,0.7630321067821069,0.645075998681772,0.040341837573180044,1120,0.6447548466026727,0.7667838083509265,0.02450608367590441,1120,0.77,0.5871514119833309,0.04159430993827695,1120,0.5876984126984126,0.7505496031746032,0.06459295875205436,1120,0.755
STRICT,config_kfold,LogisticRegression,standard,smoteenn,on,0.4990323611864097,0.054024242482644494,6720,0.5035739049155842,0.768368413084931,0.030202566286358846,6720,0.7711363636363636,0.6483187474131535,0.03567129265531483,6720,0.6511369332421963,0.7442063296583001,0.026964938114530077,6720,0.7438095238095238,0.5483920655355239,0.03526259396934599,6720,0.5474801587301588,0.8245104166666667,0.06374260763441192,6720,0.8333333333333334
IMPUTED,config_kfold,LinearDiscriminantAnalysis_svd,standard,smote,on,0.4986839001644267,0.04186084827552785,1120,0.496978335424441,0.7645742126231257,0.023224829416038175,1120,0.7649242424242424,0.6392286937381441,0.02900952187886688,1120,0.6384643134643134,0.7690513392857142,0.019835987979332892,1120,0.76875,0.5739247637958386,0.033944578095720206,1120,0.5721428571428572,0.7539890873015873,0.057321966699787924,1120,0.75
IMPUTED,config_loo,LogisticRegression,standard,smote,on,0.4981285682631651,0.024706249431130572,336,0.4986331041694657,0.7727482646663681,0.015161113939426794,336,0.7754702194357367,0.6480098414156317,0.01635478198989761,336,0.6486486486486487,0.7628348214285714,0.011675392874502658,336,0.7625,0.5482350143165892,0.017702062942922422,336,0.5441176470588235,0.7947781385281386,0.04521139819713906,336,0.7954545454545454
IMPUTED,config_strat80,LogisticRegression,maxabs,smote,on,0.4981044236077019,0.19287750562339703,3360,0.5204358386562267,0.7631815044858522,0.10687984802997137,3360,0.7801932367149759,0.6217867622293066,0.18631932566436563,3360,0.6666666666666666,0.7654761904761904,0.07724586070786182,3360,0.75,0.5651076113132448,0.18219066744349774,3360,0.5625,0.7579365079365079,0.2564152120981942,3360,0.8888888888888888
STRICT,config_strat80,SVC_linear,none,smoteenn,off,0.4976687572026481,0.13209856196711703,480,0.5017840908171767,0.7612929894179895,0.06662316689370504,480,0.7619047619047619,0.6580582192898958,0.07878676637642008,480,0.6547619047619048,0.7459027777777778,0.07879791483114669,480,0.7333333333333333,0.5778883863384637,0.12356278005211112,480,0.5454545454545454,0.7997685185185185,0.12016015463150719,480,0.7777777777777778
IMPUTED,config_strat80,SVC_linear,none,undersample,off,0.497441323138862,0.17787236502196221,240,0.4732058754737091,0.7605475040257649,0.09776817357952086,240,0.748792270531401,0.6399464652244796,0.12788892601278756,240,0.6234817813765182,0.7598958333333333,0.09463782307189872,240,0.75,0.5819509598302167,0.1412206784411602,240,0.5454545454545454,0.7620370370370371,0.1908576445797127,240,0.7777777777777778
IMPUTED,config_kfold,SVC_linear,standard,smote,on,0.49621246720986717,0.045239885861325366,5684,0.4963295060749318,0.7614622257516882,0.025605699152573696,5684,0.7603030303030304,0.6350390134040025,0.03198630340736052,5684,0.6353515928515929,0.7696989356087263,0.020418694385927513,5684,0.76875,0.5791664813157643,0.03589448485970392,5684,0.5783333333333334,0.7420944757213229,0.06194071276538378,5684,0.735
IMPUTED,config_loo,LinearDiscriminantAnalysis_svd,standard,smote,on,0.4958440844206735,0.03217999432575924,56,0.4942411406855747,0.768472906403941,0.01821909604489311,56,0.7672413793103448,0.6460944880894629,0.021308570144513206,56,0.6457528957528957,0.7687499999999999,0.018386630518346256,56,0.76875,0.559960104417143,0.029372019095667314,56,0.5564467312348669,0.7678571428571429,0.05213587650530166,56,0.7613636363636364
IMPUTED,config_random80,LogisticRegression,standard,undersample,on,0.4955513002439524,0.1271030563368609,1680,0.492658951723038,0.7797171947406434,0.0721521293460006,1680,0.7703703703703704,0.6247456765928264,0.09710805020344422,1680,0.6153846153846154,0.7546502976190477,0.06848909228680077,1680,0.75,0.5212567933616419,0.1268721047236596,1680,0.5,0.8232586196871912,0.13383318677075579,1680,0.8
IMPUTED,config_random80,LinearDiscriminantAnalysis_svd,maxabs,undersample,on,0.4946360855936095,0.14045299857815058,280,0.48687298371029364,0.7754227233876628,0.0797172174861037,280,0.7564102564102564,0.6251379457579306,0.10374980486713069,280,0.631578947368421,0.7658482142857143,0.07153514874353985,280,0.75,0.5390638475669988,0.12973235871287978,280,0.5384615384615384,0.7860197540554683,0.14716643275147007,280,0.7596153846153846
IMPUTED,config_random80,LinearDiscriminantAnalysis_svd,standard,smote,on,0.49438618402409146,0.15321414708820133,560,0.4938291646584311,0.7727042971466803,0.08831277040622917,560,0.7706018518518518,0.622923462378879,0.11712423529050359,560,0.6363636363636364,0.7719866071428572,0.06964915622908298,560,0.75,0.5448223834988541,0.13294078977200297,560,0.5454545454545454,0.7685010029652887,0.17394107251128266,560,0.75
IMPUTED,config_strat80,LinearDiscriminantAnalysis_svd,robust,undersample,on,0.4937909448408612,0.1618800324131673,280,0.5204358386562267,0.7645617667356798,0.08665705231337452,280,0.7801932367149759,0.6424633095008421,0.11241686560070117,280,0.6666666666666666,0.7566964285714286,0.07620611308672683,280,0.75,0.5589044639755055,0.11489067172033463,280,0.5384615384615384,0.7825396825396825,0.1676904325436491,280,0.7777777777777778
STRICT,config_loo,LogisticRegression,standard,smoteenn,on,0.4935587901984783,0.03839920828993844,336,0.4930055884664934,0.7708213002182005,0.0222655295550938,336,0.7715633423180592,0.6491907553919231,0.0239816601076819,336,0.6483983983983984,0.7474662162162162,0.01777636031581403,336,0.7432432432432432,0.5367589809609395,0.02209756277149124,336,0.532258064516129,0.8248299319727892,0.059001157540314354,336,0.8333333333333334
STRICT,config_kfold,LogisticRegression,robust,smoteenn,off,0.4934696553637871,0.046582999207792436,960,0.4962545574102615,0.7631302609427609,0.027751346730075645,960,0.7656240981240982,0.6441371702649549,0.03236136131844939,960,0.6469794698055567,0.7504587780514504,0.022537306239091913,960,0.7505747126436781,0.5591471783773933,0.030753166847111504,960,0.5582142857142858,0.7928773148148148,0.06436148316132163,960,0.79
STRICT,config_loo,LogisticRegression,standard,smote,off,0.49319395680383465,0.022611613440948006,48,0.4977014396548559,0.765386343216532,0.014142027168640783,48,0.7678571428571428,0.6494359375808734,0.015696621847746988,48,0.6526175687666371,0.7668918918918918,0.009855742668776691,48,0.7635135135135135,0.5670604325611427,0.015354370922349779,48,0.5648370497427101,0.7619047619047619,0.04281772362536055,48,0.7738095238095237
STRICT,config_loo,LogisticRegression,standard,none,off,0.4930081795069732,0.02864769358390929,12,0.5047622053370361,0.7452455825097335,0.017876000909756735,12,0.742475292003594,0.631098378971108,0.01675956807705908,12,0.6276424939791276,0.7826576576576576,0.032446932330626885,12,0.7871621621621622,0.6355981249605017,0.09525510059236941,12,0.6380635245901639,0.6587301587301587,0.11897544709854997,12,0.6547619047619048
STRICT,config_kfold,SVC_linear,standard,smote,on,0.4929414406101733,0.05621192636106942,6300,0.4945411012521209,0.756582305481115,0.03148181423339896,6300,0.7575000000000001,0.6387545975782395,0.041755802544127474,6300,0.6409523809523809,0.7662284854171554,0.023924928774973785,6300,0.7645977011494253,0.5892468245022351,0.041655013529394075,6300,0.5876984126984126,0.7348625220458553,0.06873929343260515,6300,0.7388888888888889
STRICT,config_random80,LinearDiscriminantAnalysis_svd,maxabs,none,off,0.4925396194250773,0.11609670921087965,20,0.4886363636363636,0.7356247013855709,0.0658450728996697,20,0.7432771033314511,0.5920221934927817,0.09228431213051401,20,0.6153846153846154,0.8,0.05514467945790076,20,0.8,0.6752380952380952,0.1657581755608044,20,0.6666666666666666,0.5804761904761905,0.17490317509636533,20,0.5982142857142857
