dataset_variant,config_name,model_class,scaler,resampling,pca,mean,std,median,min,max,count,range,cv_ratio
STRICT,config_loo,SVC,maxabs,smote,off,0.47078439233950076,0.03170149491078279,0.4681623224484551,0.4157046551561493,0.5301471196827872,36,0.11444246452663787,0.06733760809963646
STRICT,config_loo,LinearDiscriminantAnalysis,maxabs,smote,on,0.4779145590792044,0.031773665838031234,0.4670841238700822,0.4376281740110319,0.5207201428712019,56,0.08309196886017006,0.0664839880568807
IMPUTED,config_loo,SVC,maxabs,smote,off,0.4539767500661275,0.03198411167358441,0.4595638849768418,0.3992538571714621,0.5164956098976807,32,0.11724175272621862,0.07045319318428866
IMPUTED,config_kfold,LinearDiscriminantAnalysis,robust,smote,off,0.4678004892152779,0.03206975515991514,0.4661265126309614,0.3742057576078728,0.5426363783682044,160,0.16843062076033166,0.06855434292877985
IMPUTED,config_loo,LinearDiscriminantAnalysis,standard,smote,on,0.4958440844206735,0.03217999432575924,0.4942411406855747,0.4400071838494009,0.5637981363555521,56,0.12379095250615119,0.064899421686874
IMPUTED,config_loo,LinearDiscriminantAnalysis,maxabs,smote,on,0.47149487689455355,0.03218411108935313,0.4685790789045568,0.4090975620301051,0.5350188929913869,56,0.12592133096128183,0.06825972596209327
STRICT,config_loo,LogisticRegression,standard,smoteenn,off,0.4686155890742656,0.032369312844420094,0.4781164350793879,0.4050757314861623,0.5189784147503389,48,0.11390268326417657,0.06907434067305483
IMPUTED,config_kfold,LinearDiscriminantAnalysis,standard,smote,off,0.46173692473446587,0.032478747913430014,0.4549905718408716,0.3816205001175275,0.5402481373825868,160,0.1586276372650593,0.07034037386571972
IMPUTED,config_kfold,LogisticRegression,standard,smote,off,0.48419486156424235,0.0327773657060213,0.48559362761309144,0.3911506414500514,0.5954907095537068,960,0.20434006810365535,0.06769457569237843
IMPUTED,config_kfold,LinearDiscriminantAnalysis,maxabs,smote,off,0.46582435351038487,0.03338772657139273,0.465180355239291,0.3873494945546072,0.5311613252365729,160,0.14381183068196568,0.07167449773672771
STRICT,config_loo,LogisticRegression,standard,undersample,on,0.4842994511512507,0.03356114971388464,0.48223380406606214,0.4072105485482321,0.5588390654545202,168,0.15162851690628815,0.06929834348171336
IMPUTED,config_loo,LinearDiscriminantAnalysis,standard,undersample,on,0.4642873153525815,0.03356569857131375,0.4509939284626683,0.4204231461659226,0.5267865840075201,28,0.10636343784159752,0.07229510146281691
IMPUTED,config_loo,LogisticRegression,standard,undersample,on,0.4713939394893749,0.0340305684026025,0.4702613770474478,0.4114352887942449,0.5648434697911421,168,0.15340818099689718,0.07219135748640557
STRICT,config_loo,LinearDiscriminantAnalysis,standard,smote,off,0.4525033225933266,0.034073585245332445,0.4536561533042916,0.4153395167798761,0.4873614669848471,8,0.07202195020497104,0.07530018796338216
STRICT,config_loo,LogisticRegression,standard,smote,on,0.5069502270076881,0.03437659365078782,0.5081533951691829,0.4050757314861623,0.5814329692973752,336,0.17635723781121287,0.06781058932293661
STRICT,config_loo,LogisticRegression,robust,smoteenn,off,0.48699667021997123,0.03519506573922849,0.48758791515595,0.4257671236823037,0.5533630834502732,48,0.1275959597679695,0.07226962295929303
STRICT,config_loo,LinearDiscriminantAnalysis,standard,undersample,on,0.4668442475153041,0.03531122359882772,0.45280655864562935,0.4265947831441164,0.5212042155696847,28,0.09460943242556824,0.07563812510653276
IMPUTED,config_kfold,SVC,standard,smote,off,0.47387209436541766,0.035373162858346456,0.4741785422912791,0.3912993277340577,0.5836956593172961,812,0.19239633158323838,0.07464706885877331
STRICT,config_loo,LinearDiscriminantAnalysis,standard,smote,on,0.500794012486509,0.036113819083347314,0.4977837854963974,0.4265947831441164,0.5595891548365541,56,0.13299437169243772,0.07211312073009297
IMPUTED,config_kfold,SVC,none,smote,off,0.4665786194100479,0.03624007910024881,0.46284671297711166,0.3617002488291415,0.5925265750408085,812,0.23082632621166704,0.07767196693682953
IMPUTED,config_kfold,LogisticRegression,none,undersample,off,0.452818963836491,0.03652628951534944,0.45405582796046834,0.3629039853573989,0.5660266763879608,480,0.2031226910305619,0.0806642222001523
STRICT,config_loo,SVC,robust,smoteenn,off,0.4690370915203853,0.0367066049530925,0.4583558374945771,0.4051084364747354,0.5396307869412783,31,0.13452235046654293,0.07825949294139599
STRICT,config_loo,RandomForestClassifier,standard,smote,off,0.45623780253688345,0.03673040057686561,0.4515991474810198,0.3738487656727224,0.5862917080130566,260,0.21244294234033423,0.08050713985695261
IMPUTED,config_kfold,SVC,robust,smote,off,0.4743655971604155,0.03706871803869342,0.4744914211325917,0.3697897631937352,0.5723141895892424,800,0.20252442639550722,0.07814377404387937
STRICT,config_loo,LogisticRegression,maxabs,undersample,on,0.4544755828532494,0.03711091494965046,0.4583558374945771,0.3550875510066608,0.5386014528554335,154,0.1835139018487727,0.08165656495045105
STRICT,config_loo,SVC,maxabs,smote,on,0.4685760674083835,0.03730387075203471,0.4581312606193058,0.3949667226034329,0.5590935152446493,196,0.16412679264121643,0.07961113114111062
IMPUTED,config_loo,LogisticRegression,standard,undersample,off,0.44694806983198593,0.03732396741800137,0.4462794994714042,0.3851461956813939,0.5059726864729314,24,0.12082649079153746,0.08350851013190856
IMPUTED,config_loo,LinearDiscriminantAnalysis,robust,smote,off,0.4735451479510086,0.03739075206949808,0.4681651043548546,0.4310637990868051,0.5267865840075201,8,0.09572278492071501,0.07895921271981104
IMPUTED,config_loo,SVC,standard,smoteenn,on,0.47440558841381253,0.03745691078279743,0.4685790789045568,0.3832059252792875,0.5659680733486607,229,0.18276214806937324,0.07895545857298095
IMPUTED,config_loo,SVC,standard,smote,off,0.44871787795203893,0.03772362268873306,0.4387725362554147,0.3892607275956724,0.5157274172608465,35,0.1264666896651741,0.0840698009647058
IMPUTED,config_kfold,LogisticRegression,none,none,off,0.45448317901015656,0.03797575140330219,0.46117475995832957,0.3351509747024995,0.5507815656005272,240,0.21563059089802766,0.08355810106330366
IMPUTED,config_loo,LogisticRegression,standard,smoteenn,on,0.4714569265239343,0.03802740689067517,0.4641580590412252,0.3681265495813386,0.5486784946784741,336,0.18055194509713546,0.08065934500326967
STRICT,config_kfold,LogisticRegression,none,none,off,0.4683385645090455,0.03835630883609673,0.4713866155090059,0.3741725387060302,0.5459184952580419,240,0.17174595655201175,0.08189867703144467
IMPUTED,config_loo,SVC,standard,undersample,on,0.45644247534682725,0.03839602416224341,0.4673320904329671,0.3963896244052417,0.5648434697911421,118,0.16845384538590036,0.08412018213920218
STRICT,config_loo,LogisticRegression,standard,smoteenn,on,0.4935587901984783,0.03839920828993844,0.4930055884664934,0.4050757314861623,0.6017840614342685,336,0.19670832994810622,0.07780067755352243
IMPUTED,config_kfold,LogisticRegression,robust,smoteenn,off,0.46022289859798765,0.03849126056621613,0.46314759076559586,0.3326650820129564,0.5515685880679848,960,0.2189035060550284,0.08363612650190812
IMPUTED,config_kfold,LogisticRegression,standard,smote,on,0.508581475241017,0.039667698750164376,0.5082247470285293,0.3458745821766045,0.62629593670007,6720,0.2804213545234655,0.07799674325803124
IMPUTED,config_kfold,LinearDiscriminantAnalysis,maxabs,smote,on,0.47039628442764875,0.03976921760183192,0.47263224573769236,0.3341290798646442,0.5712729617424273,1120,0.23714388187778307,0.0845440725583554
STRICT,config_kfold,LogisticRegression,none,smote,off,0.47390281419707814,0.03981358331430417,0.4753396887724486,0.3283786319770072,0.566774625126435,960,0.23839599314942778,0.08401212679388567
STRICT,config_kfold,SVC,standard,smote,off,0.4695484376940771,0.040179973613492626,0.4761866234478679,0.344492631585382,0.566349310243223,900,0.22185667865784098,0.08557152018397496
IMPUTED,config_kfold,LogisticRegression,standard,smoteenn,off,0.45918310962632186,0.04034530968229911,0.45947605990241513,0.3481151690369961,0.5611100550979202,960,0.21299488606092415,0.08786322675311746
